Team,SEASON,YEAR,ERA,GP,W,L,WIN_PCT,ORtg,DRtg,NRtg,eFG%,TS%,3PA,3P%,FG3M,Pace,AST%,AST_TO,AST_RATIO,TOV%,ORB%,DRB%,REB_PCT,FTA_RATE,PIE,PTS,FG%,FT%,OPP_OPP_PTS,OPP_OPP_FG_PCT
Chicago Bulls,2024-25,2025,2020s,82,39,43,0.4756097560975609,113.2,114.8,-1.6,0.553,0.585,42.0,0.367,15.4,103.61,0.673,1.98,19.9,0.141,0.26,0.722,0.496,0.214,0.495,117.8,0.47,0.809,119.4,0.467
Cleveland Cavaliers,2024-25,2025,2020s,82,64,18,0.7804878048780488,121.0,111.8,9.2,0.578,0.607,41.5,0.383,15.9,100.31,0.631,2.13,19.6,0.131,0.296,0.7,0.505,0.241,0.546,121.9,0.491,0.776,112.4,0.454
Dallas Mavericks,2024-25,2025,2020s,82,39,43,0.4756097560975609,113.7,115.0,-1.3,0.549,0.583,34.2,0.364,12.4,100.15,0.601,1.8,18.2,0.14,0.271,0.694,0.488,0.263,0.496,114.2,0.479,0.77,115.4,0.469
Denver Nuggets,2024-25,2025,2020s,82,50,32,0.6097560975609756,118.9,115.1,3.8,0.573,0.604,31.9,0.376,12.0,100.67,0.683,2.17,21.1,0.14,0.311,0.709,0.52,0.259,0.529,120.8,0.506,0.77,116.9,0.466
Detroit Pistons,2024-25,2025,2020s,82,44,38,0.5365853658536586,114.6,112.5,2.1,0.547,0.58,35.4,0.362,12.8,100.27,0.618,1.78,18.6,0.147,0.305,0.714,0.511,0.248,0.509,115.5,0.476,0.774,113.6,0.461
Golden State Warriors,2024-25,2025,2020s,82,48,34,0.5853658536585366,114.2,111.0,3.2,0.536,0.568,42.4,0.364,15.4,99.37,0.714,2.07,20.1,0.141,0.314,0.716,0.509,0.244,0.515,113.8,0.451,0.764,110.5,0.465
Houston Rockets,2024-25,2025,2020s,82,52,30,0.6341463414634146,114.9,110.3,4.6,0.523,0.553,35.8,0.353,12.7,99.03,0.549,1.68,16.4,0.14,0.363,0.715,0.533,0.242,0.515,114.3,0.455,0.738,109.8,0.459
Indiana Pacers,2024-25,2025,2020s,82,50,32,0.6097560975609756,115.4,113.3,2.1,0.562,0.594,35.8,0.368,13.2,100.76,0.671,2.22,20.5,0.13,0.254,0.705,0.483,0.241,0.521,117.4,0.488,0.789,115.1,0.474
LA Clippers,2024-25,2025,2020s,82,50,32,0.6097560975609756,114.3,109.4,4.9,0.554,0.589,33.4,0.373,12.5,98.24,0.605,1.69,18.4,0.151,0.282,0.734,0.512,0.251,0.521,112.9,0.482,0.797,108.2,0.461
Los Angeles Lakers,2024-25,2025,2020s,82,50,32,0.6097560975609756,115.0,113.8,1.2,0.557,0.593,36.4,0.366,13.3,98.34,0.635,1.86,18.9,0.142,0.273,0.702,0.495,0.271,0.511,113.4,0.479,0.785,112.2,0.463
Memphis Grizzlies,2024-25,2025,2020s,82,48,34,0.5853658536585366,117.2,112.6,4.7,0.554,0.588,37.9,0.367,13.9,103.69,0.635,1.81,19.1,0.151,0.33,0.702,0.518,0.249,0.524,121.7,0.479,0.786,116.9,0.456
Miami Heat,2024-25,2025,2020s,82,37,45,0.4512195121951219,112.4,112.0,0.4,0.544,0.576,37.3,0.367,13.7,97.08,0.653,1.94,19.2,0.138,0.263,0.724,0.496,0.232,0.505,110.6,0.465,0.791,110.0,0.466
Milwaukee Bucks,2024-25,2025,2020s,82,48,34,0.5853658536585366,115.1,112.7,2.4,0.568,0.598,36.6,0.387,14.2,99.92,0.607,1.91,18.7,0.133,0.235,0.725,0.491,0.268,0.513,115.5,0.486,0.75,113.0,0.457
Minnesota Timberwolves,2024-25,2025,2020s,82,49,33,0.5975609756097561,115.7,110.8,5.0,0.554,0.588,39.9,0.377,15.0,97.95,0.637,1.81,18.7,0.146,0.3,0.709,0.507,0.249,0.524,114.3,0.468,0.789,109.3,0.46
New Orleans Pelicans,2024-25,2025,2020s,82,21,61,0.2560975609756097,109.7,119.1,-9.4,0.519,0.552,34.6,0.347,12.0,99.77,0.636,1.76,18.3,0.146,0.303,0.682,0.487,0.244,0.455,109.8,0.452,0.754,119.3,0.483
New York Knicks,2024-25,2025,2020s,82,51,31,0.6219512195121951,117.3,113.3,4.0,0.556,0.589,34.1,0.369,12.6,97.64,0.634,2.07,19.6,0.134,0.305,0.71,0.508,0.232,0.527,115.8,0.486,0.8,111.7,0.474
Oklahoma City Thunder,2024-25,2025,2020s,82,68,14,0.8292682926829268,119.2,106.6,12.7,0.56,0.593,38.8,0.374,14.5,100.9,0.602,2.29,18.9,0.116,0.281,0.704,0.496,0.22,0.562,120.5,0.482,0.819,107.6,0.436
Orlando Magic,2024-25,2025,2020s,82,41,41,0.5,108.9,109.1,-0.2,0.51,0.55,35.3,0.318,11.2,96.51,0.603,1.62,17.1,0.147,0.302,0.72,0.501,0.269,0.497,105.4,0.445,0.775,105.5,0.468
Philadelphia 76ers,2024-25,2025,2020s,82,24,58,0.2926829268292683,111.0,117.3,-6.3,0.527,0.563,37.2,0.341,12.7,98.13,0.584,1.7,17.1,0.138,0.279,0.678,0.471,0.257,0.459,109.6,0.454,0.78,115.8,0.488
Phoenix Suns,2024-25,2025,2020s,82,36,46,0.4390243902439024,114.7,117.7,-3.0,0.561,0.595,38.0,0.378,14.3,98.31,0.673,1.97,20.0,0.142,0.264,0.709,0.493,0.241,0.495,113.6,0.478,0.81,116.6,0.473
Portland Trail Blazers,2024-25,2025,2020s,82,36,46,0.4390243902439024,111.0,113.7,-2.7,0.521,0.555,37.7,0.342,12.9,99.51,0.587,1.49,16.9,0.16,0.332,0.682,0.501,0.246,0.473,110.9,0.45,0.762,113.9,0.471
