team,rank_on_team,player_name,tier,GP,total_min,PTS,REB,AST,STL,BLK,TOV,composite_score,within_season_pct,potential_score
New Orleans Pelicans,6,Jeremiah Robinson-Earl,Role Player,66,1239,6.3,4.8,1.3,0.6,0.1,0.8,0.4149,37.9,0.3734
New Orleans Pelicans,7,Dejounte Murray,Star,31,1012,17.5,6.5,7.4,2.0,0.4,3.4,0.5988,92.0,0.539
New Orleans Pelicans,8,Brandon Boston,Role Player,42,993,10.7,3.2,2.2,1.3,0.2,1.2,0.4224,40.3,0.3801
New Orleans Pelicans,9,Bruce Brown,Role Player,41,922,8.3,4.0,2.0,0.8,0.2,1.0,0.4052,31.7,0.3646
New Orleans Pelicans,10,Kelly Olynyk,Starter,44,891,8.7,4.7,2.9,0.8,0.4,1.7,0.5012,70.1,0.451
New York Knicks,1,Mikal Bridges,Fringe,82,3036,17.6,3.2,3.7,0.9,0.5,1.6,0.3917,26.9,0.3526
New York Knicks,2,Josh Hart,Starter,77,2897,13.6,9.6,5.9,1.5,0.4,2.1,0.5041,71.2,0.4537
New York Knicks,3,OG Anunoby,Role Player,74,2706,18.0,4.8,2.2,1.5,0.9,1.4,0.419,39.5,0.3771
New York Knicks,4,Karl-Anthony Towns,Star,72,2517,24.4,12.8,3.1,1.0,0.7,2.7,0.6488,96.5,0.5839
New York Knicks,5,Jalen Brunson,Starter,65,2301,26.0,2.9,7.3,0.9,0.1,2.5,0.5695,87.2,0.5125
New York Knicks,6,Miles McBride,Fringe,64,1593,9.5,2.5,2.9,1.0,0.3,0.6,0.3961,29.1,0.3565
New York Knicks,7,Precious Achiuwa,Role Player,57,1170,6.6,5.6,1.0,0.8,0.7,0.8,0.4337,45.6,0.3903
New York Knicks,8,Cameron Payne,Role Player,72,1090,6.9,1.4,2.8,0.5,0.2,0.7,0.4718,57.3,0.4246
New York Knicks,9,Landry Shamet,Fringe,50,762,5.7,1.2,0.5,0.5,0.0,0.4,0.2911,2.1,0.262
New York Knicks,10,Delon Wright,Fringe,40,635,3.1,1.6,1.9,0.9,0.3,0.6,0.3361,6.9,0.3025
Oklahoma City Thunder,1,Shai Gilgeous-Alexander,Superstar,76,2598,32.7,5.0,6.4,1.7,1.0,2.4,0.7319,98.9,0.6587
Oklahoma City Thunder,2,Jalen Williams,Star,69,2237,21.6,5.3,5.1,1.6,0.7,2.2,0.5891,90.9,0.5302
